cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,1,,1
1,queue,varchar,1,,0
2,payload,TEXT,1,,0
3,attempts,INTEGER,1,,0
4,reserved_at,INTEGER,0,,0
5,available_at,INTEGER,1,,0
6,created_at,INTEGER,1,,0
