cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,1,,1
1,order_id,INTEGER,1,,0
2,product_id,INTEGER,1,,0
3,quantity,INTEGER,1,,0
4,unit_price,numeric,1,,0
5,subtotal,numeric,1,,0
6,created_at,datetime,0,,0
7,updated_at,datetime,0,,0
